answer_id	annotator	mentioned_factors	missing_required_factors	diagnostic_tags	M1	M2	M3	M4	M5	comment
A011	보완라벨	LIQUIDITY_RISK;CONCENTRATION_RISK;MARKET_VOLATILITY	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;FINANCIAL_SOUNDNESS	missing_required_factor;ignored_mitigating_factor	3	4	4	5	4	자금 조달 비용과 30% 비중 부담을 행동으로 잘 연결함. 그러나 정책 대응, 국내 직접 노출도, 재무 건전성 같은 완화 요인이 빠져 핵심 정보 식별은 제한적임.
A012	보완라벨	FINANCIAL_CONTAGION;FINANCIAL_SOUNDNESS;POLICY_SAFETY_NET	DOMESTIC_DIRECT_EXPOSURE;LIQUIDITY_RISK	missing_required_factor;missing_position_size	4	5	4	4	4	해외 악재, 국내 은행 자본 상태, 정부 유동성 공급 가능성을 고려해 관망한 판단은 타당함. 다만 직접 노출도와 유동성 위험을 명확히 언급하지 않았고 비중 판단도 부족함.
A013	보완라벨		FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;ignored_uncertainty;ignored_mitigating_factor;passive_action;cause_effect_gap	1	2	1	2	2	장기 투자 목적 자체는 행동 이유가 될 수 있지만, 주어진 금융 불안 시나리오의 핵심 요인을 거의 분석하지 않음. 관망 행동의 근거가 투자 목적에만 머물러 있음.
A014	보완라벨	MARKET_VOLATILITY;RISK_APPETITE	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;ignored_mitigating_factor;excessive_action;cause_effect_gap	2	3	2	2	3	시장 변동성은 인식했지만 금융 불안의 구조, 직접 노출도, 정책 대응, 재무 건전성은 고려하지 않음. 매도 판단이 감정적 표현에 가까움.
A015	보완라벨	LIQUIDITY_RISK;MARKET_VOLATILITY;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;DIVERSIFICATION_EFFECT;CASH_BUFFER	FINANCIAL_CONTAGION;FINANCIAL_SOUNDNESS	missing_required_factor	4	5	5	4	5	유동성 우려와 정책 안전망을 함께 고려하고 헤지라는 행동으로 연결한 점이 좋음. 다만 전염 가능성과 재무 건전성은 직접적으로 약하며, 선택 행동이 기본 선택지 밖이라는 점은 감점 가능함.
A016	보완라벨	DOMESTIC_DIRECT_EXPOSURE;FINANCIAL_SOUNDNESS;POLICY_SAFETY_NET;MARKET_VOLATILITY	FINANCIAL_CONTAGION;LIQUIDITY_RISK	missing_required_factor;no_counter_scenario	4	5	4	4	5	국내 은행 자체 문제와 해외 이슈를 구분하고, 재무 건전성과 정책 대응을 근거로 소액 분할 매수를 선택한 점은 논리적임. 다만 금융 불안 전염과 유동성 위험은 다소 낮게 반영함.
A017	보완라벨	FOREIGN_INVESTOR_FLOW	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;missing_supporting_factor;ignored_mitigating_factor;cause_effect_gap	2	3	2	3	3	외국인 수급만 보고 신규 매수를 보류함. 기존 보유와 신규 매수를 구분한 점은 나쁘지 않지만, 필수 요인을 거의 고려하지 않음.
A018	보완라벨	CONCENTRATION_RISK	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;ignored_mitigating_factor;cause_effect_gap	1	2	1	2	2	손실 확대 회피라는 개인 손익 중심 판단은 있으나 시나리오의 핵심 금융 요인과 거의 연결되지 않음. 일부 정리 행동은 가능하지만 근거가 부족함.
A019	보완라벨		FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;ignored_uncertainty;cause_effect_gap	1	1	1	1	1	근거 자체가 없으므로 평가 가능한 투자 판단이라고 보기 어려움.
A020	보완라벨		FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;cause_effect_gap	1	1	1	2	1	타인의 말에 의존해 비중을 줄였을 뿐, 시나리오 정보를 활용한 판단 근거가 없음. 행동은 위험 회피처럼 보이지만 근거가 전혀 부족함.
A021	보완라벨	LIQUIDITY_RISK;CONCENTRATION_RISK	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;FINANCIAL_SOUNDNESS	missing_required_factor;ignored_mitigating_factor	2	4	4	5	4	조달 비용 상승과 금융주 30% 비중을 연결한 행동 판단은 좋음. 그러나 필수 요인 다수가 빠져 우수 답변으로 분류되었더라도 라벨 점수는 중간 수준으로 보는 것이 타당함.
A022	보완라벨	MARKET_VOLATILITY;RISK_APPETITE;SECTOR_RELATIVE_STRENGTH	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;ignored_mitigating_factor;excessive_action;cause_effect_gap	2	3	2	2	3	A007과 유사하게 업종 분위기와 추가 하락 가능성만 보고 매도함. 핵심 요인과 완화 요인이 빠져 판단 근거가 약함.
A023	보완라벨		FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;ignored_uncertainty;action_mismatch;conclusion_jump	1	1	1	1	1	역발상 매수 자체는 가능하지만, 시나리오 정보나 금융 요인에 기반하지 않아 평가 가능한 근거가 거의 없음.
A024	보완라벨	RISK_APPETITE	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;ignored_mitigating_factor;excessive_action;conclusion_jump	1	2	1	1	2	군중 심리와 공포에 따른 전량 매도 판단임. 완화 요인과 직접 노출도 정보를 무시했으며 행동 강도가 과도함.
A025	보완라벨		FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;ignored_uncertainty;cause_effect_gap	1	1	1	1	2	차트 반등 기대만 있고 시나리오 정보와 연결된 투자 판단 근거가 없음. 금융 불안 상황에서 매수 근거가 부족함.
A026	보완라벨	MARKET_VOLATILITY	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;ignored_uncertainty;action_mismatch;conclusion_jump	1	2	1	1	2	A008과 동일하게 하락을 할인으로 단순 해석함. 위험과 완화 요인을 모두 충분히 보지 않아 매수 행동과 근거의 정합성이 낮음.
A027	보완라벨	MARKET_VOLATILITY;RISK_APPETITE	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;unsupported_claim;ignored_mitigating_factor;excessive_action;conclusion_jump	1	2	1	1	2	A009와 유사한 공포 기반 매도 판단임. 국내 직접 노출도와 정책 안전망을 고려하지 않았고, ‘다 팜’이라는 행동 강도가 근거에 비해 과도함.
A028	보완라벨	FINANCIAL_CONTAGION;FOREIGN_INVESTOR_FLOW;MARKET_VOLATILITY;DOMESTIC_DIRECT_EXPOSURE;FINANCIAL_SOUNDNESS;CONCENTRATION_RISK;CASH_BUFFER	POLICY_SAFETY_NET;LIQUIDITY_RISK	missing_required_factor	5	5	5	5	5	전염 가능성, 수급, 변동성, 직접 노출도, 재무 건전성, 포트폴리오 비중과 현금 확보를 균형 있게 봄. 정책 안전망과 유동성 위험이 직접적으로 빠졌지만 전체 판단 구조는 매우 우수함.
A029	보완라벨	DOMESTIC_DIRECT_EXPOSURE;FINANCIAL_CONTAGION	POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;missing_supporting_factor;missing_position_size	3	4	3	4	4	국내 직접 노출도와 전염 가능성을 연결해 관망한 점은 타당하지만, 정책 대응·유동성 위험·재무 건전성·비중 판단이 빠져 보통 수준임.
A030	보완라벨	FOREIGN_INVESTOR_FLOW;MARKET_VOLATILITY;CONCENTRATION_RISK	FINANCIAL_CONTAGION;DOMESTIC_DIRECT_EXPOSURE;POLICY_SAFETY_NET;LIQUIDITY_RISK;FINANCIAL_SOUNDNESS	missing_required_factor;ignored_mitigating_factor	2	4	3	4	4	수급, 변동성, 30% 비중을 근거로 일부 매도를 선택한 것은 행동상 타당함. 다만 필수 요인을 대부분 확인하지 못했고, 스스로 국내 재무 상태와 정책 대응을 모른다고 했으므로 핵심 정보 식별 점수는 낮음.
